feature_index,feature_name,importance_score
0,High_0,23.231
1,Low_0,35.884
2,Open_0,23.62
3,Volume_0,45.974
4,daily_return_0,23.397
5,log_return_0,23.453
6,volume_change_0,23.8
7,relative_volume_0,23.874
8,high_low_range_0,36.031
9,excess_return_0,35.985
10,daily_return_zscore_0,36.209
11,log_return_zscore_0,23.647
12,volume_change_zscore_0,35.962
13,relative_volume_zscore_0,42.846
14,log_volume_0,23.423
15,Close_1,23.801
16,High_1,23.514
17,Low_1,35.849
18,Open_1,23.359
19,Volume_1,51.449
20,daily_return_1,23.326
21,log_return_1,36.031
22,volume_change_1,43.035
23,relative_volume_1,23.813
24,high_low_range_1,23.732
25,excess_return_1,41.922
26,daily_return_zscore_1,23.843
27,log_return_zscore_1,23.687
28,volume_change_zscore_1,42.812
29,relative_volume_zscore_1,36.21
30,log_volume_1,23.897
31,Close_2,23.831
32,High_2,23.796
33,Low_2,23.474
34,Open_2,23.693
35,Volume_2,55.386
36,daily_return_2,23.475
37,log_return_2,23.585
38,volume_change_2,36.004
39,relative_volume_2,42.795
40,high_low_range_2,36.219
41,excess_return_2,35.844
42,daily_return_zscore_2,42.955
43,log_return_zscore_2,42.821
44,volume_change_zscore_2,36.066
45,relative_volume_zscore_2,23.551
46,log_volume_2,43.117
