feature_index,feature_name,importance_score
0,High_0,35.475
1,Low_0,42.159
2,Open_0,35.316
3,Volume_0,49.763
4,daily_return_0,22.691
5,log_return_0,23.689
6,volume_change_0,35.529
7,relative_volume_0,41.332
8,high_low_range_0,23.117
9,excess_return_0,23.487
10,daily_return_zscore_0,23.225
11,log_return_zscore_0,23.681
12,volume_change_zscore_0,35.478
13,relative_volume_zscore_0,35.407
14,log_volume_0,23.669
15,Close_1,23.662
16,High_1,23.49
17,Low_1,35.595
18,Open_1,22.864
19,Volume_1,43.892
20,daily_return_1,22.903
21,log_return_1,23.595
22,volume_change_1,42.216
23,relative_volume_1,35.278
24,high_low_range_1,35.174
25,excess_return_1,42.12
26,daily_return_zscore_1,35.346
27,log_return_zscore_1,23.28
28,volume_change_zscore_1,42.214
29,relative_volume_zscore_1,23.141
30,log_volume_1,23.292
31,Close_2,35.595
32,High_2,42.16
33,Low_2,23.237
34,Open_2,23.191
35,Volume_2,42.315
36,daily_return_2,22.856
37,log_return_2,23.162
38,volume_change_2,42.17
39,relative_volume_2,23.661
40,high_low_range_2,23.066
41,excess_return_2,23.081
42,daily_return_zscore_2,35.284
43,log_return_zscore_2,41.989
44,volume_change_zscore_2,23.554
45,relative_volume_zscore_2,22.702
46,log_volume_2,35.587
