feature_index,feature_name,importance_score
0,high_std_0,19.117
1,low_std_0,37.744
2,close_std_0,33.403
3,daily_return_std_0,62.305
4,log_return_std_0,67.8
5,volume_change_std_0,20.908
6,relative_volume_std_0,35.017
7,log_volume_0,18.721
8,high_low_range_std_0,141.28
9,excess_return_std_0,22.378
10,open_std_1,22.225
11,high_std_1,43.08
12,low_std_1,31.96
13,close_std_1,32.379
14,daily_return_std_1,40.37
15,log_return_std_1,51.422
16,volume_change_std_1,32.014
17,relative_volume_std_1,29.734
18,log_volume_1,18.476
19,high_low_range_std_1,32.319
20,excess_return_std_1,19.61
21,open_std_2,21.622
22,high_std_2,20.724
23,low_std_2,31.421
24,close_std_2,21.093
25,daily_return_std_2,18.567
26,log_return_std_2,18.462
27,volume_change_std_2,52.678
28,relative_volume_std_2,20.72
29,log_volume_2,19.236
30,high_low_range_std_2,18.134
31,excess_return_std_2,19.841
