feature_index,feature_name,importance_score
0,high_std_0,18.952
1,low_std_0,32.152
2,close_std_0,21.477
3,daily_return_std_0,69.8
4,log_return_std_0,81.181
5,volume_change_std_0,30.905
6,relative_volume_std_0,31.727
7,log_volume_0,19.261
8,high_low_range_std_0,172.732
9,excess_return_std_0,20.436
10,open_std_1,37.936
11,high_std_1,22.117
12,low_std_1,19.26
13,close_std_1,29.947
14,daily_return_std_1,40.551
15,log_return_std_1,42.404
16,volume_change_std_1,29.999
17,relative_volume_std_1,45.332
18,log_volume_1,18.612
19,high_low_range_std_1,42.746
20,excess_return_std_1,19.98
21,open_std_2,21.222
22,high_std_2,18.831
23,low_std_2,18.819
24,close_std_2,32.424
25,daily_return_std_2,20.124
26,log_return_std_2,19.484
27,volume_change_std_2,52.659
28,relative_volume_std_2,35.208
29,log_volume_2,20.646
30,high_low_range_std_2,20.228
31,excess_return_std_2,21.189
