feature_index,feature_name,importance_score
0,high_std_0,21.044
1,low_std_0,69.975
2,close_std_0,18.233
3,daily_return_std_0,19.653
4,log_return_std_0,19.321
5,volume_change_std_0,18.436
6,relative_volume_std_0,35.869
7,log_volume_0,19.245
8,high_low_range_std_0,19.253
9,excess_return_std_0,21.347
10,open_std_1,23.199
11,high_std_1,99.721
12,low_std_1,37.626
13,close_std_1,32.255
14,daily_return_std_1,20.499
15,log_return_std_1,22.929
16,volume_change_std_1,66.87
17,relative_volume_std_1,106.521
18,log_volume_1,19.729
19,high_low_range_std_1,49.582
20,excess_return_std_1,57.063
21,open_std_2,55.165
22,high_std_2,47.345
23,low_std_2,57.158
24,close_std_2,132.876
25,daily_return_std_2,34.127
26,log_return_std_2,24.098
27,volume_change_std_2,22.436
28,relative_volume_std_2,31.555
29,log_volume_2,21.017
30,high_low_range_std_2,37.295
31,excess_return_std_2,22.571
