feature_index,feature_name,importance_score
0,high_std_0,23.166
1,low_std_0,39.784
2,close_std_0,20.035
3,daily_return_std_0,18.062
4,log_return_std_0,18.202
5,volume_change_std_0,18.389
6,relative_volume_std_0,17.895
7,log_volume_0,18.467
8,high_low_range_std_0,17.919
9,excess_return_std_0,18.385
10,open_std_1,93.535
11,high_std_1,33.701
12,low_std_1,39.251
13,close_std_1,21.007
14,daily_return_std_1,18.861
15,log_return_std_1,18.072
16,volume_change_std_1,20.4
17,relative_volume_std_1,23.487
18,log_volume_1,19.398
19,high_low_range_std_1,94.372
20,excess_return_std_1,17.257
21,open_std_2,57.025
22,high_std_2,61.431
23,low_std_2,36.386
24,close_std_2,42.103
25,daily_return_std_2,62.76
26,log_return_std_2,67.537
27,volume_change_std_2,106.033
28,relative_volume_std_2,51.803
29,log_volume_2,41.726
30,high_low_range_std_2,73.664
31,excess_return_std_2,85.626
