feature_index,feature_name,importance_score
0,high_std_0,20.006
1,low_std_0,22.058
2,close_std_0,19.42
3,daily_return_std_0,20.966
4,log_return_std_0,19.983
5,volume_change_std_0,40.475
6,relative_volume_std_0,32.809
7,log_volume_0,19.049
8,high_low_range_std_0,47.204
9,excess_return_std_0,22.888
10,open_std_1,21.139
11,high_std_1,32.095
12,low_std_1,50.085
13,close_std_1,21.48
14,daily_return_std_1,21.523
15,log_return_std_1,20.228
16,volume_change_std_1,30.337
17,relative_volume_std_1,38.056
18,log_volume_1,18.507
19,high_low_range_std_1,55.389
20,excess_return_std_1,38.449
21,open_std_2,20.199
22,high_std_2,37.784
23,low_std_2,50.709
24,close_std_2,52.003
25,daily_return_std_2,22.646
26,log_return_std_2,21.111
27,volume_change_std_2,31.369
28,relative_volume_std_2,80.8
29,log_volume_2,20.06
30,high_low_range_std_2,43.58
31,excess_return_std_2,46.875
