feature_index,feature_name,importance_score
0,high_std_0,29.349
1,low_std_0,45.691
2,close_std_0,36.181
3,daily_return_std_0,47.871
4,log_return_std_0,45.428
5,volume_change_std_0,46.377
6,relative_volume_std_0,58.482
7,log_volume_0,27.87
8,high_low_range_std_0,32.825
9,excess_return_std_0,18.958
10,open_std_1,19.609
11,high_std_1,19.321
12,low_std_1,16.989
13,close_std_1,19.993
14,daily_return_std_1,18.508
15,log_return_std_1,19.504
16,volume_change_std_1,57.368
17,relative_volume_std_1,47.57
18,log_volume_1,18.633
19,high_low_range_std_1,18.296
20,excess_return_std_1,29.85
21,open_std_2,19.472
22,high_std_2,19.469
23,low_std_2,31.537
24,close_std_2,19.934
25,daily_return_std_2,18.662
26,log_return_std_2,18.548
27,volume_change_std_2,55.785
28,relative_volume_std_2,39.219
29,log_volume_2,18.29
30,high_low_range_std_2,18.452
31,excess_return_std_2,28.58
