feature_index,feature_name,importance_score
0,High_0,23.638
1,Low_0,42.164
2,Open_0,22.864
3,Volume_0,47.218
4,daily_return_0,23.743
5,log_return_0,23.637
6,volume_change_0,35.489
7,relative_volume_0,23.122
8,high_low_range_0,23.433
9,excess_return_0,23.732
10,daily_return_zscore_0,35.646
11,log_return_zscore_0,23.729
12,volume_change_zscore_0,23.479
13,relative_volume_zscore_0,23.207
14,log_volume_0,23.534
15,Close_1,35.246
16,High_1,35.705
17,Low_1,23.763
18,Open_1,41.507
19,Volume_1,49.214
20,daily_return_1,42.22
21,log_return_1,35.638
22,volume_change_1,35.702
23,relative_volume_1,42.213
24,high_low_range_1,23.51
25,excess_return_1,35.693
26,daily_return_zscore_1,35.748
27,log_return_zscore_1,23.331
28,volume_change_zscore_1,35.607
29,relative_volume_zscore_1,23.184
30,log_volume_1,42.761
31,Close_2,35.601
32,High_2,23.359
33,Low_2,23.592
34,Open_2,42.208
35,Volume_2,58.387
36,daily_return_2,35.576
37,log_return_2,23.515
38,volume_change_2,42.943
39,relative_volume_2,23.765
40,high_low_range_2,23.304
41,excess_return_2,23.791
42,daily_return_zscore_2,35.727
43,log_return_zscore_2,23.676
44,volume_change_zscore_2,23.551
45,relative_volume_zscore_2,23.056
46,log_volume_2,42.263
