feature_index,feature_name,importance_score
0,High_0,42.811
1,Low_0,42.779
2,Open_0,23.724
3,Volume_0,109.268
4,daily_return_0,24.02
5,log_return_0,23.998
6,volume_change_0,36.103
7,relative_volume_0,42.585
8,high_low_range_0,23.971
9,excess_return_0,23.569
10,daily_return_zscore_0,36.12
11,log_return_zscore_0,36.011
12,volume_change_zscore_0,23.622
13,relative_volume_zscore_0,24.122
14,log_volume_0,23.938
15,Close_1,42.557
16,High_1,24.104
17,Low_1,24.135
18,Open_1,24.004
19,Volume_1,111.119
20,daily_return_1,23.867
21,log_return_1,42.439
22,volume_change_1,42.044
23,relative_volume_1,36.061
24,high_low_range_1,23.47
25,excess_return_1,23.72
26,daily_return_zscore_1,23.39
27,log_return_zscore_1,23.68
28,volume_change_zscore_1,35.635
29,relative_volume_zscore_1,23.479
30,log_volume_1,23.886
31,Close_2,36.024
32,High_2,36.067
33,Low_2,22.863
34,Open_2,23.743
35,Volume_2,62.341
36,daily_return_2,42.614
37,log_return_2,35.936
38,volume_change_2,23.912
39,relative_volume_2,23.563
40,high_low_range_2,36.026
41,excess_return_2,23.415
42,daily_return_zscore_2,35.701
43,log_return_zscore_2,42.621
44,volume_change_zscore_2,23.823
45,relative_volume_zscore_2,35.997
46,log_volume_2,36.16
