feature_index,feature_name,importance_score
0,High_0,23.677
1,Low_0,23.668
2,Open_0,35.382
3,Volume_0,49.56
4,daily_return_0,35.793
5,log_return_0,23.417
6,volume_change_0,23.723
7,relative_volume_0,35.573
8,high_low_range_0,23.08
9,excess_return_0,23.589
10,daily_return_zscore_0,49.312
11,log_return_zscore_0,22.747
12,volume_change_zscore_0,58.495
13,relative_volume_zscore_0,36.904
14,log_volume_0,23.709
15,Close_1,23.191
16,High_1,23.599
17,Low_1,23.103
18,Open_1,23.03
19,Volume_1,44.173
20,daily_return_1,23.521
21,log_return_1,35.718
22,volume_change_1,35.457
23,relative_volume_1,23.723
24,high_low_range_1,35.591
25,excess_return_1,35.983
26,daily_return_zscore_1,57.025
27,log_return_zscore_1,49
28,volume_change_zscore_1,36.965
29,relative_volume_zscore_1,43.267
30,log_volume_1,22.668
31,Close_2,22.953
32,High_2,23.673
33,Low_2,23.145
34,Open_2,23.664
35,Volume_2,47.638
36,daily_return_2,23.244
37,log_return_2,36.42
38,volume_change_2,23.321
39,relative_volume_2,35.61
40,high_low_range_2,35.177
41,excess_return_2,23.688
42,daily_return_zscore_2,52.399
43,log_return_zscore_2,23.744
44,volume_change_zscore_2,23.026
45,relative_volume_zscore_2,45.791
46,log_volume_2,60.776
