feature_index,feature_name,importance_score
0,High_0,23.522
1,Low_0,22.367
2,Open_0,23.452
3,Volume_0,53.244
4,daily_return_0,23.189
5,log_return_0,35.243
6,volume_change_0,23.243
7,relative_volume_0,23.363
8,high_low_range_0,35.773
9,excess_return_0,42.211
10,daily_return_zscore_0,42.365
11,log_return_zscore_0,23.122
12,volume_change_zscore_0,35.441
13,relative_volume_zscore_0,35.547
14,log_volume_0,23.157
15,Close_1,23.486
16,High_1,23.592
17,Low_1,42.224
18,Open_1,23.327
19,Volume_1,44.244
20,daily_return_1,41.394
21,log_return_1,35.767
22,volume_change_1,23.505
23,relative_volume_1,35.685
24,high_low_range_1,23.724
25,excess_return_1,35.59
26,daily_return_zscore_1,23.701
27,log_return_zscore_1,23.206
28,volume_change_zscore_1,35.7
29,relative_volume_zscore_1,42.144
30,log_volume_1,23.419
31,Close_2,23.596
32,High_2,23.657
33,Low_2,35.225
34,Open_2,23.481
35,Volume_2,55.354
36,daily_return_2,35.399
37,log_return_2,23.168
38,volume_change_2,42.222
39,relative_volume_2,23.641
40,high_low_range_2,35.498
41,excess_return_2,23.418
42,daily_return_zscore_2,35.56
43,log_return_zscore_2,42.159
44,volume_change_zscore_2,23.103
45,relative_volume_zscore_2,42.193
46,log_volume_2,23.379
