feature_index,feature_name,importance_score
0,High_0,23.482
1,Low_0,35.463
2,Open_0,23.716
3,Volume_0,51.281
4,daily_return_0,35.61
5,log_return_0,23.407
6,volume_change_0,23.646
7,relative_volume_0,23.774
8,high_low_range_0,35.674
9,excess_return_0,23.528
10,daily_return_zscore_0,35.922
11,log_return_zscore_0,42.985
12,volume_change_zscore_0,23.285
13,relative_volume_zscore_0,23.098
14,log_volume_0,23.773
15,Close_1,23.563
16,High_1,35.558
17,Low_1,35.545
18,Open_1,41.735
19,Volume_1,51.006
20,daily_return_1,23.736
21,log_return_1,35.825
22,volume_change_1,42.959
23,relative_volume_1,23.784
24,high_low_range_1,23.788
25,excess_return_1,23.207
26,daily_return_zscore_1,22.942
27,log_return_zscore_1,23.131
28,volume_change_zscore_1,23.412
29,relative_volume_zscore_1,23.563
30,log_volume_1,42.624
31,Close_2,35.372
32,High_2,23.732
33,Low_2,35.752
34,Open_2,23.415
35,Volume_2,44.167
36,daily_return_2,22.617
37,log_return_2,35.712
38,volume_change_2,35.814
39,relative_volume_2,42.29
40,high_low_range_2,23.358
41,excess_return_2,23.691
42,daily_return_zscore_2,35.587
43,log_return_zscore_2,43.252
44,volume_change_zscore_2,23.702
45,relative_volume_zscore_2,42.571
46,log_volume_2,43.795
