feature_index,feature_name,importance_score
0,High_0,48.77
1,Low_0,36.701
2,Open_0,51.145
3,Volume_0,61.838
4,daily_return_0,24.189
5,log_return_0,23.343
6,volume_change_0,23.669
7,relative_volume_0,49.573
8,high_low_range_0,23.663
9,excess_return_0,24.145
10,daily_return_zscore_0,36.468
11,log_return_zscore_0,36.87
12,volume_change_zscore_0,24.399
13,relative_volume_zscore_0,24.018
14,log_volume_0,49.783
15,Close_1,35.661
16,High_1,35.675
17,Low_1,22.928
18,Open_1,57.313
19,Volume_1,62.575
20,daily_return_1,24.013
21,log_return_1,24.261
22,volume_change_1,50.582
23,relative_volume_1,36.494
24,high_low_range_1,36.229
25,excess_return_1,23.402
26,daily_return_zscore_1,36.256
27,log_return_zscore_1,42.126
28,volume_change_zscore_1,48.878
29,relative_volume_zscore_1,36.147
30,log_volume_1,23.949
31,Close_2,24.363
32,High_2,24.092
33,Low_2,24.042
34,Open_2,23.61
35,Volume_2,52.584
36,daily_return_2,24.141
37,log_return_2,23.562
38,volume_change_2,23.912
39,relative_volume_2,36.332
40,high_low_range_2,23.439
41,excess_return_2,22.455
42,daily_return_zscore_2,24.283
43,log_return_zscore_2,36.504
44,volume_change_zscore_2,24.349
45,relative_volume_zscore_2,36.83
46,log_volume_2,23.303
