feature_index,feature_name,importance_score
0,high_std_0,20.669
1,low_std_0,20.648
2,close_std_0,46.501
3,daily_return_std_0,42.891
4,log_return_std_0,20.94
5,volume_change_std_0,41.746
6,relative_volume_std_0,35.176
7,log_volume_0,18.193
8,high_low_range_std_0,18.489
9,excess_return_std_0,19.734
10,open_std_1,18.991
11,high_std_1,34.248
12,low_std_1,20.578
13,close_std_1,18.777
14,daily_return_std_1,19.167
15,log_return_std_1,18.861
16,volume_change_std_1,52.271
17,relative_volume_std_1,18.865
18,log_volume_1,18.164
19,high_low_range_std_1,32.27
20,excess_return_std_1,17.832
21,open_std_2,18.53
22,high_std_2,32.1
23,low_std_2,35.06
24,close_std_2,77.842
25,daily_return_std_2,34.935
26,log_return_std_2,31.554
27,volume_change_std_2,49.607
28,relative_volume_std_2,51.365
29,log_volume_2,19.169
30,high_low_range_std_2,36.757
31,excess_return_std_2,74.32
