feature_index,feature_name,importance_score
0,high_std_0,39.467
1,low_std_0,211.101
2,close_std_0,61.606
3,daily_return_std_0,19.643
4,log_return_std_0,21.028
5,volume_change_std_0,35.966
6,relative_volume_std_0,67.616
7,log_volume_0,29.444
8,high_low_range_std_0,36.294
9,excess_return_std_0,31.53
10,open_std_1,31.726
11,high_std_1,30.84
12,low_std_1,327.109
13,close_std_1,19.784
14,daily_return_std_1,20.62
15,log_return_std_1,18.116
16,volume_change_std_1,17.725
17,relative_volume_std_1,33.114
18,log_volume_1,20.214
19,high_low_range_std_1,17.671
20,excess_return_std_1,17.661
21,open_std_2,21.676
22,high_std_2,18.952
23,low_std_2,55.268
24,close_std_2,154.917
25,daily_return_std_2,21.315
26,log_return_std_2,20.959
27,volume_change_std_2,32.151
28,relative_volume_std_2,20.86
29,log_volume_2,39.067
30,high_low_range_std_2,20.995
31,excess_return_std_2,21.608
