feature_index,feature_name,importance_score
0,high_std_0,18.152
1,low_std_0,19.594
2,close_std_0,18.732
3,daily_return_std_0,29.241
4,log_return_std_0,26.984
5,volume_change_std_0,20.681
6,relative_volume_std_0,22.395
7,log_volume_0,17.301
8,high_low_range_std_0,32.287
9,excess_return_std_0,30.485
10,open_std_1,45.103
11,high_std_1,49.854
12,low_std_1,55.187
13,close_std_1,32.933
14,daily_return_std_1,21.643
15,log_return_std_1,19.897
16,volume_change_std_1,48.517
17,relative_volume_std_1,128.277
18,log_volume_1,18.63
19,high_low_range_std_1,89.127
20,excess_return_std_1,20.159
21,open_std_2,44.583
22,high_std_2,22.394
23,low_std_2,22.064
24,close_std_2,33.359
25,daily_return_std_2,21.532
26,log_return_std_2,22.561
27,volume_change_std_2,21.197
28,relative_volume_std_2,36.739
29,log_volume_2,17.915
30,high_low_range_std_2,39.087
31,excess_return_std_2,41.692
