feature_index,feature_name,importance_score
0,high_std_0,37.967
1,low_std_0,67.328
2,close_std_0,95.666
3,daily_return_std_0,18.69
4,log_return_std_0,19.023
5,volume_change_std_0,19.763
6,relative_volume_std_0,19.293
7,log_volume_0,16.762
8,high_low_range_std_0,22.234
9,excess_return_std_0,19.959
10,open_std_1,109.135
11,high_std_1,32.96
12,low_std_1,59.39
13,close_std_1,70.834
14,daily_return_std_1,30.811
15,log_return_std_1,20.848
16,volume_change_std_1,39.9
17,relative_volume_std_1,57.441
18,log_volume_1,20.618
19,high_low_range_std_1,52.113
20,excess_return_std_1,22.456
21,open_std_2,36.265
22,high_std_2,20.381
23,low_std_2,19.299
24,close_std_2,19.883
25,daily_return_std_2,40.35
26,log_return_std_2,47.576
27,volume_change_std_2,19.769
28,relative_volume_std_2,29.922
29,log_volume_2,19.32
30,high_low_range_std_2,32.845
31,excess_return_std_2,22.893
