feature_index,feature_name,importance_score
0,high_std_0,22.488
1,low_std_0,21.101
2,close_std_0,49.919
3,daily_return_std_0,32.1
4,log_return_std_0,30.238
5,volume_change_std_0,18.863
6,relative_volume_std_0,19.433
7,log_volume_0,18.488
8,high_low_range_std_0,18.875
9,excess_return_std_0,19.155
10,open_std_1,54.02
11,high_std_1,32.293
12,low_std_1,31.794
13,close_std_1,21.216
14,daily_return_std_1,18.566
15,log_return_std_1,19.139
16,volume_change_std_1,32.83
17,relative_volume_std_1,41.802
18,log_volume_1,18.992
19,high_low_range_std_1,21.524
20,excess_return_std_1,18.579
21,open_std_2,65.18
22,high_std_2,51.583
23,low_std_2,22.463
24,close_std_2,22.121
25,daily_return_std_2,40.235
26,log_return_std_2,35.666
27,volume_change_std_2,45.607
28,relative_volume_std_2,41.173
29,log_volume_2,20.339
30,high_low_range_std_2,33.801
31,excess_return_std_2,40.024
