feature_index,feature_name,importance_score
0,high_std_0,21.019
1,low_std_0,18.995
2,close_std_0,18.332
3,daily_return_std_0,22.27
4,log_return_std_0,37.971
5,volume_change_std_0,33.071
6,relative_volume_std_0,48.46
7,log_volume_0,19.02
8,high_low_range_std_0,59.94
9,excess_return_std_0,22.01
10,open_std_1,18.149
11,high_std_1,20.247
12,low_std_1,21.559
13,close_std_1,40.723
14,daily_return_std_1,21.629
15,log_return_std_1,33.569
16,volume_change_std_1,60.969
17,relative_volume_std_1,31.725
18,log_volume_1,50.25
19,high_low_range_std_1,31.049
20,excess_return_std_1,34.65
21,open_std_2,20.999
22,high_std_2,19.903
23,low_std_2,19.275
24,close_std_2,19.548
25,daily_return_std_2,34.718
26,log_return_std_2,22.376
27,volume_change_std_2,20.256
28,relative_volume_std_2,33.435
29,log_volume_2,37.229
30,high_low_range_std_2,33.266
31,excess_return_std_2,41.476
