feature_index,feature_name,importance_score
0,High_0,23.801
1,Low_0,35.522
2,Open_0,42.229
3,Volume_0,75.611
4,daily_return_0,41.823
5,log_return_0,42.445
6,volume_change_0,36.083
7,relative_volume_0,23.798
8,high_low_range_0,35.929
9,excess_return_0,35.814
10,daily_return_zscore_0,35.979
11,log_return_zscore_0,23.891
12,volume_change_zscore_0,23.926
13,relative_volume_zscore_0,35.579
14,log_volume_0,23.116
15,Close_1,35.499
16,High_1,23.316
17,Low_1,23.96
18,Open_1,23.68
19,Volume_1,73.11
20,daily_return_1,36.046
21,log_return_1,23.204
22,volume_change_1,35.598
23,relative_volume_1,23.015
24,high_low_range_1,23.535
25,excess_return_1,23.784
26,daily_return_zscore_1,23.586
27,log_return_zscore_1,23.748
28,volume_change_zscore_1,42.586
29,relative_volume_zscore_1,42.733
30,log_volume_1,42.615
31,Close_2,23.919
32,High_2,23.398
33,Low_2,23.47
34,Open_2,23.694
35,Volume_2,43.242
36,daily_return_2,35.854
37,log_return_2,23.169
38,volume_change_2,23.143
39,relative_volume_2,22.982
40,high_low_range_2,23.671
41,excess_return_2,23.683
42,daily_return_zscore_2,42.435
43,log_return_zscore_2,23.449
44,volume_change_zscore_2,35.618
45,relative_volume_zscore_2,42.217
46,log_volume_2,35.976
