feature_index,feature_name,importance_score
0,High_0,35.334
1,Low_0,23.256
2,Open_0,23.622
3,Volume_0,48.792
4,daily_return_0,23.21
5,log_return_0,23.27
6,volume_change_0,23.197
7,relative_volume_0,23.633
8,high_low_range_0,35.629
9,excess_return_0,22.694
10,daily_return_zscore_0,42.028
11,log_return_zscore_0,23.335
12,volume_change_zscore_0,41.825
13,relative_volume_zscore_0,35.56
14,log_volume_0,23.196
15,Close_1,23.161
16,High_1,35.166
17,Low_1,42.006
18,Open_1,23.282
19,Volume_1,35.434
20,daily_return_1,23.427
21,log_return_1,35.604
22,volume_change_1,23.448
23,relative_volume_1,42.059
24,high_low_range_1,23.282
25,excess_return_1,41.797
26,daily_return_zscore_1,41.36
27,log_return_zscore_1,23.033
28,volume_change_zscore_1,22.723
29,relative_volume_zscore_1,35.434
30,log_volume_1,22.53
31,Close_2,23.63
32,High_2,23.129
33,Low_2,23.439
34,Open_2,23.371
35,Volume_2,42.171
36,daily_return_2,41.976
37,log_return_2,42.1
38,volume_change_2,42.05
39,relative_volume_2,23.273
40,high_low_range_2,35.19
41,excess_return_2,35.626
42,daily_return_zscore_2,35.324
43,log_return_zscore_2,23.182
44,volume_change_zscore_2,35.17
45,relative_volume_zscore_2,35.581
46,log_volume_2,23.676
