feature_index,feature_name,importance_score
0,high_std_0,22.547
1,low_std_0,35.518
2,close_std_0,21.3
3,daily_return_std_0,39.908
4,log_return_std_0,39.132
5,volume_change_std_0,21.945
6,relative_volume_std_0,40.346
7,log_volume_0,33.925
8,high_low_range_std_0,52.813
9,excess_return_std_0,21.706
10,open_std_1,22.125
11,high_std_1,18.5
12,low_std_1,21.391
13,close_std_1,19.02
14,daily_return_std_1,29.518
15,log_return_std_1,28.777
16,volume_change_std_1,20.19
17,relative_volume_std_1,20.211
18,log_volume_1,21.407
19,high_low_range_std_1,17.67
20,excess_return_std_1,63.114
21,open_std_2,22.186
22,high_std_2,48.947
23,low_std_2,19.089
24,close_std_2,21.41
25,daily_return_std_2,33.578
26,log_return_std_2,22.373
27,volume_change_std_2,80.223
28,relative_volume_std_2,54.406
29,log_volume_2,31.192
30,high_low_range_std_2,41.552
31,excess_return_std_2,32.605
