feature_index,feature_name,importance_score
0,high_std_0,20.091
1,low_std_0,50.911
2,close_std_0,69.25
3,daily_return_std_0,22.37
4,log_return_std_0,32.623
5,volume_change_std_0,18.883
6,relative_volume_std_0,18.198
7,log_volume_0,18.207
8,high_low_range_std_0,20.382
9,excess_return_std_0,20.405
10,open_std_1,19.062
11,high_std_1,61.605
12,low_std_1,48.159
13,close_std_1,79.799
14,daily_return_std_1,21.491
15,log_return_std_1,33.726
16,volume_change_std_1,85.55
17,relative_volume_std_1,71.784
18,log_volume_1,19.624
19,high_low_range_std_1,29.254
20,excess_return_std_1,60.793
21,open_std_2,22.789
22,high_std_2,185.748
23,low_std_2,31.706
24,close_std_2,23.199
25,daily_return_std_2,22.508
26,log_return_std_2,22.204
27,volume_change_std_2,92.4
28,relative_volume_std_2,33.627
29,log_volume_2,23.614
30,high_low_range_std_2,28.568
31,excess_return_std_2,22.798
