feature_index,feature_name,importance_score
0,high_std_0,48.155
1,low_std_0,22.157
2,close_std_0,21.002
3,daily_return_std_0,47.285
4,log_return_std_0,34.034
5,volume_change_std_0,72.904
6,relative_volume_std_0,47.628
7,log_volume_0,19.832
8,high_low_range_std_0,30.876
9,excess_return_std_0,20.837
10,open_std_1,30.325
11,high_std_1,32.703
12,low_std_1,61.857
13,close_std_1,22.985
14,daily_return_std_1,20.562
15,log_return_std_1,20.382
16,volume_change_std_1,19.835
17,relative_volume_std_1,30.942
18,log_volume_1,20.312
19,high_low_range_std_1,22.115
20,excess_return_std_1,22.324
21,open_std_2,44.53
22,high_std_2,38.757
23,low_std_2,47.692
24,close_std_2,37.166
25,daily_return_std_2,19.664
26,log_return_std_2,19.801
27,volume_change_std_2,20.311
28,relative_volume_std_2,42.973
29,log_volume_2,20.776
30,high_low_range_std_2,30.471
31,excess_return_std_2,20.493
