feature_index,feature_name,importance_score
0,high_std_0,21.522
1,low_std_0,32.834
2,close_std_0,19.271
3,daily_return_std_0,46.341
4,log_return_std_0,46.985
5,volume_change_std_0,34.46
6,relative_volume_std_0,30.16
7,log_volume_0,20.323
8,high_low_range_std_0,38.914
9,excess_return_std_0,30.251
10,open_std_1,21.445
11,high_std_1,18.988
12,low_std_1,19.516
13,close_std_1,22.335
14,daily_return_std_1,29.419
15,log_return_std_1,30.156
16,volume_change_std_1,44.576
17,relative_volume_std_1,47.238
18,log_volume_1,30.433
19,high_low_range_std_1,22.549
20,excess_return_std_1,30.425
21,open_std_2,21.872
22,high_std_2,21.259
23,low_std_2,50.65
24,close_std_2,21.671
25,daily_return_std_2,19.055
26,log_return_std_2,19.143
27,volume_change_std_2,35.61
28,relative_volume_std_2,33.845
29,log_volume_2,19.081
30,high_low_range_std_2,20.749
31,excess_return_std_2,19.315
