feature_index,feature_name,importance_score
0,High_0,32.864
1,Low_0,21.796
2,Open_0,22.145
3,Volume_0,40.76
4,daily_return_0,32.986
5,log_return_0,21.943
6,volume_change_0,22.129
7,relative_volume_0,22.084
8,high_low_range_0,22.128
9,daily_return_zscore_0,33.176
10,log_return_zscore_0,33.264
11,volume_change_zscore_0,22.098
12,relative_volume_zscore_0,39.451
13,log_volume_0,21.945
14,Close_1,21.915
15,High_1,21.853
16,Low_1,21.846
17,Open_1,32.903
18,Volume_1,43.373
19,daily_return_1,33.348
20,log_return_1,22.136
21,volume_change_1,22.215
22,relative_volume_1,21.836
23,high_low_range_1,39.58
24,daily_return_zscore_1,21.937
25,log_return_zscore_1,39.226
26,volume_change_zscore_1,21.171
27,relative_volume_zscore_1,39.285
28,log_volume_1,22.209
29,Close_2,33.11
30,High_2,38.446
31,Low_2,22.179
32,Open_2,39.018
33,Volume_2,46.827
34,daily_return_2,32.876
35,log_return_2,21.119
36,volume_change_2,21.345
37,relative_volume_2,39.05
38,high_low_range_2,39.562
39,daily_return_zscore_2,22.212
40,log_return_zscore_2,33.076
41,volume_change_zscore_2,33.199
42,relative_volume_zscore_2,33.127
43,log_volume_2,21.947
