feature_index,feature_name,importance_score
0,High_0,22.278
1,Low_0,22.346
2,Open_0,39.366
3,Volume_0,125.216
4,daily_return_0,39.572
5,log_return_0,21.983
6,volume_change_0,33.346
7,relative_volume_0,21.904
8,high_low_range_0,22.458
9,daily_return_zscore_0,39.598
10,log_return_zscore_0,21.694
11,volume_change_zscore_0,21.968
12,relative_volume_zscore_0,39.474
13,log_volume_0,33.464
14,Close_1,38.801
15,High_1,21.629
16,Low_1,21.864
17,Open_1,33.439
18,Volume_1,43.217
19,daily_return_1,39.487
20,log_return_1,22.506
21,volume_change_1,33.222
22,relative_volume_1,22.292
23,high_low_range_1,33.24
24,daily_return_zscore_1,22.164
25,log_return_zscore_1,22.225
26,volume_change_zscore_1,21.833
27,relative_volume_zscore_1,21.545
28,log_volume_1,22.464
29,Close_2,33.249
30,High_2,22.083
31,Low_2,39.535
32,Open_2,22.25
33,Volume_2,119.908
34,daily_return_2,22.328
35,log_return_2,22.077
36,volume_change_2,22.48
37,relative_volume_2,39.579
38,high_low_range_2,22.075
39,daily_return_zscore_2,33.093
40,log_return_zscore_2,33.335
41,volume_change_zscore_2,33.007
42,relative_volume_zscore_2,33.436
43,log_volume_2,33.449
