index,subsequence_idx,score,start_date,end_date
9,9,2.313902268992019,2023-01-31,2023-02-02
34,34,2.8786957572608785,2023-03-08,2023-03-10
35,35,3.6438466550300563,2023-03-09,2023-03-13
36,36,3.444420295444156,2023-03-10,2023-03-14
37,37,3.3580719199474025,2023-03-13,2023-03-15
38,38,2.9160557580712356,2023-03-14,2023-03-16
39,39,3.7984749663996977,2023-03-15,2023-03-17
40,40,3.662614656385615,2023-03-16,2023-03-20
41,41,2.746730416176405,2023-03-17,2023-03-21
42,42,2.212614440335745,2023-03-20,2023-03-22
43,43,2.249845849920605,2023-03-21,2023-03-23
363,363,2.045288698862062,2024-06-28,2024-07-02
387,387,2.665964276631956,2024-08-02,2024-08-06
453,453,2.680937303349863,2024-11-05,2024-11-07
454,454,2.058302063939974,2024-11-06,2024-11-08
481,481,2.4836563654477803,2024-12-16,2024-12-18
482,482,2.929110983156165,2024-12-17,2024-12-19
483,483,4.0497408675852995,2024-12-18,2024-12-20
484,484,2.364783270886462,2024-12-19,2024-12-23
485,485,4.066316344263136,2024-12-20,2024-12-24
486,486,2.194409805473751,2024-12-23,2024-12-26
528,528,2.1227875966481338,2025-02-26,2025-02-28
529,529,2.9944249289430407,2025-02-27,2025-03-03
530,530,3.1778110034820775,2025-02-28,2025-03-04
531,531,2.119611530131297,2025-03-03,2025-03-05
535,535,2.3334892702523473,2025-03-07,2025-03-11
545,545,2.059074694557089,2025-03-21,2025-03-25
