sp500_anomaly_index,start_date,end_date,total_constituents,anomalous_constituents,anomaly_percentage
0,2023-06-15T00:00:00,2023-06-20T00:00:00,31,31,100.0
1,2023-09-14T00:00:00,2023-09-18T00:00:00,31,31,100.0
2,2023-11-22T00:00:00,2023-11-27T00:00:00,31,31,100.0
3,2023-11-24T00:00:00,2023-11-28T00:00:00,31,31,100.0
4,2024-03-14T00:00:00,2024-03-18T00:00:00,31,31,100.0
5,2023-03-07T00:00:00,2023-03-09T00:00:00,31,31,100.0
6,2023-03-09T00:00:00,2023-03-13T00:00:00,31,31,100.0
7,2024-06-20T00:00:00,2024-06-24T00:00:00,31,31,100.0
8,2023-03-10T00:00:00,2023-03-14T00:00:00,31,31,100.0
9,2024-08-01T00:00:00,2024-08-05T00:00:00,31,31,100.0
10,2024-08-02T00:00:00,2024-08-06T00:00:00,31,31,100.0
11,2024-08-05T00:00:00,2024-08-07T00:00:00,31,29,93.54838709677419
12,2023-03-15T00:00:00,2023-03-17T00:00:00,31,30,96.7741935483871
13,2023-03-16T00:00:00,2023-03-20T00:00:00,31,31,100.0
14,2024-08-30T00:00:00,2024-09-04T00:00:00,31,31,100.0
15,2024-09-19T00:00:00,2024-09-23T00:00:00,31,31,100.0
16,2024-11-04T00:00:00,2024-11-06T00:00:00,31,30,96.7741935483871
17,2024-12-16T00:00:00,2024-12-18T00:00:00,31,30,96.7741935483871
18,2024-12-17T00:00:00,2024-12-19T00:00:00,31,31,100.0
19,2024-12-18T00:00:00,2024-12-20T00:00:00,31,28,90.32258064516128
20,2024-12-19T00:00:00,2024-12-23T00:00:00,31,31,100.0
21,2024-12-20T00:00:00,2024-12-24T00:00:00,31,31,100.0
22,2025-02-27T00:00:00,2025-03-03T00:00:00,31,31,100.0
23,2025-02-28T00:00:00,2025-03-04T00:00:00,31,31,100.0
24,2025-03-03T00:00:00,2025-03-05T00:00:00,31,30,96.7741935483871
25,2025-03-06T00:00:00,2025-03-10T00:00:00,31,31,100.0
26,2025-03-20T00:00:00,2025-03-24T00:00:00,31,31,100.0
27,2023-01-30T00:00:00,2023-02-01T00:00:00,31,30,96.7741935483871
