index,date,score,start_date,end_date
0,2023-01-18,2.36806,2023-01-18,2023-01-18
5,2023-01-25,2.87139,2023-01-25,2023-01-25
7,2023-01-27,2.61876,2023-01-27,2023-01-27
10,2023-02-01,2.39853,2023-02-01,2023-02-01
11,2023-02-02,3.92126,2023-02-02,2023-02-02
12,2023-02-03,3.68449,2023-02-03,2023-02-03
13,2023-02-06,2.52603,2023-02-06,2023-02-06
14,2023-02-07,3.57849,2023-02-07,2023-02-07
40,2023-03-16,2.58889,2023-03-16,2023-03-16
41,2023-03-17,2.58118,2023-03-17,2023-03-17
65,2023-04-21,2.52752,2023-04-21,2023-04-21
69,2023-04-27,3.7834,2023-04-27,2023-04-27
70,2023-04-28,3.6173,2023-04-28,2023-04-28
90,2023-05-26,2.82492,2023-05-26,2023-05-26
97,2023-06-07,2.94191,2023-06-07,2023-06-07
104,2023-06-16,2.58567,2023-06-16,2023-06-16
107,2023-06-22,2.75753,2023-06-22,2023-06-22
127,2023-07-21,3.60993,2023-07-21,2023-07-21
136,2023-08-03,2.64051,2023-08-03,2023-08-03
137,2023-08-04,3.81159,2023-08-04,2023-08-04
166,2023-09-15,3.19548,2023-09-15,2023-09-15
195,2023-10-26,3.08776,2023-10-26,2023-10-26
196,2023-10-27,3.61569,2023-10-27,2023-10-27
230,2023-12-15,3.61341,2023-12-15,2023-12-15
262,2024-02-02,3.57177,2024-02-02,2024-02-02
322,2024-04-30,2.92707,2024-04-30,2024-04-30
323,2024-05-01,2.92691,2024-05-01,2024-05-01
387,2024-08-02,3.75765,2024-08-02,2024-08-02
388,2024-08-05,3.06964,2024-08-05,2024-08-05
389,2024-08-06,2.47253,2024-08-06,2024-08-06
421,2024-09-20,3.08602,2024-09-20,2024-09-20
451,2024-11-01,3.01594,2024-11-01,2024-11-01
461,2024-11-15,2.54988,2024-11-15,2024-11-15
485,2024-12-20,2.62868,2024-12-20,2024-12-20
487,2024-12-24,2.80428,2024-12-24,2024-12-24
488,2024-12-26,2.61156,2024-12-26,2024-12-26
