index,date,score,start_date,end_date
11,2023-02-02,3.52353,2023-02-02,2023-02-02
13,2023-02-06,3.00208,2023-02-06,2023-02-06
28,2023-02-28,2.65316,2023-02-28,2023-02-28
30,2023-03-02,3.71751,2023-03-02,2023-03-02
41,2023-03-17,2.89465,2023-03-17,2023-03-17
45,2023-03-23,3.0728,2023-03-23,2023-03-23
67,2023-04-25,2.43817,2023-04-25,2023-04-25
68,2023-04-26,2.42985,2023-04-26,2023-04-26
69,2023-04-27,3.15239,2023-04-27,2023-04-27
104,2023-06-16,3.10741,2023-06-16,2023-06-16
108,2023-06-23,2.61877,2023-06-23,2023-06-23
130,2023-07-26,2.83055,2023-07-26,2023-07-26
192,2023-10-23,2.6138,2023-10-23,2023-10-23
194,2023-10-25,2.41152,2023-10-25,2023-10-25
195,2023-10-26,3.08948,2023-10-26,2023-10-26
229,2023-12-14,2.64635,2023-12-14,2023-12-14
230,2023-12-15,2.60266,2023-12-15,2023-12-15
246,2024-01-10,2.71452,2024-01-10,2024-01-10
256,2024-01-25,2.59577,2024-01-25,2024-01-25
261,2024-02-01,3.03541,2024-02-01,2024-02-01
264,2024-02-06,2.62021,2024-02-06,2024-02-06
291,2024-03-15,2.64046,2024-03-15,2024-03-15
301,2024-04-01,2.69752,2024-04-01,2024-04-01
317,2024-04-23,2.63744,2024-04-23,2024-04-23
321,2024-04-29,3.21397,2024-04-29,2024-04-29
344,2024-05-31,2.85623,2024-05-31,2024-05-31
379,2024-07-23,2.64935,2024-07-23,2024-07-23
443,2024-10-22,2.68529,2024-10-22,2024-10-22
461,2024-11-15,3.10248,2024-11-15,2024-11-15
487,2024-12-24,2.97643,2024-12-24,2024-12-24
510,2025-01-30,3.48676,2025-01-30,2025-01-30
