index,date,score,start_date,end_date
39,2023-03-15,4.15384,2023-03-15,2023-03-15
41,2023-03-17,2.54946,2023-03-17,2023-03-17
52,2023-04-03,4.19062,2023-04-03,2023-04-03
67,2023-04-25,2.62554,2023-04-25,2023-04-25
92,2023-05-31,4.10303,2023-05-31,2023-05-31
117,2023-07-07,2.9543,2023-07-07,2023-07-07
126,2023-07-20,2.32908,2023-07-20,2023-07-20
215,2023-11-24,2.93401,2023-11-24,2023-11-24
259,2024-01-30,2.97995,2024-01-30,2024-01-30
358,2024-06-21,5.401,2024-06-21,2024-06-21
363,2024-06-28,2.97463,2024-06-28,2024-06-28
377,2024-07-19,2.98154,2024-07-19,2024-07-19
425,2024-09-26,2.9862,2024-09-26,2024-09-26
428,2024-10-01,2.68724,2024-10-01,2024-10-01
454,2024-11-06,3.90461,2024-11-06,2024-11-06
455,2024-11-07,2.33725,2024-11-07,2024-11-07
467,2024-11-25,2.42121,2024-11-25,2024-11-25
485,2024-12-20,2.59271,2024-12-20,2024-12-20
504,2025-01-22,2.59399,2025-01-22,2025-01-22
531,2025-03-03,2.36892,2025-03-03,2025-03-03
532,2025-03-04,2.49013,2025-03-04,2025-03-04
535,2025-03-07,2.54848,2025-03-07,2025-03-07
545,2025-03-21,5.57519,2025-03-21,2025-03-21
