index,date,score,start_date,end_date
25,2023-02-23,3.15713,2023-02-23,2023-02-23
108,2023-06-23,2.77476,2023-06-23,2023-06-23
177,2023-10-02,2.3552,2023-10-02,2023-10-02
178,2023-10-03,3.26857,2023-10-03,2023-10-03
179,2023-10-04,3.21238,2023-10-04,2023-10-04
199,2023-11-01,3.91489,2023-11-01,2023-11-01
200,2023-11-02,3.27505,2023-11-02,2023-11-02
254,2024-01-23,3.36676,2024-01-23,2024-01-23
275,2024-02-22,3.23847,2024-02-22,2024-02-22
339,2024-05-23,2.3881,2024-05-23,2024-05-23
363,2024-06-28,2.68293,2024-06-28,2024-06-28
376,2024-07-18,2.61773,2024-07-18,2024-07-18
454,2024-11-06,3.05124,2024-11-06,2024-11-06
503,2025-01-21,2.47959,2025-01-21,2025-01-21
504,2025-01-22,2.67681,2025-01-22,2025-01-22
506,2025-01-24,2.39201,2025-01-24,2025-01-24
507,2025-01-27,4.0075,2025-01-27,2025-01-27
508,2025-01-28,3.5082,2025-01-28,2025-01-28
521,2025-02-14,2.38893,2025-02-14,2025-02-14
522,2025-02-18,2.69222,2025-02-18,2025-02-18
524,2025-02-20,3.73645,2025-02-20,2025-02-20
525,2025-02-21,3.50798,2025-02-21,2025-02-21
526,2025-02-24,3.15371,2025-02-24,2025-02-24
527,2025-02-25,3.31301,2025-02-25,2025-02-25
530,2025-02-28,3.2501,2025-02-28,2025-02-28
531,2025-03-03,2.47697,2025-03-03,2025-03-03
532,2025-03-04,2.98462,2025-03-04,2025-03-04
534,2025-03-06,2.80891,2025-03-06,2025-03-06
536,2025-03-10,3.19011,2025-03-10,2025-03-10
537,2025-03-11,2.99387,2025-03-11,2025-03-11
540,2025-03-14,2.33855,2025-03-14,2025-03-14
