index,date,score,start_date,end_date
37,2023-03-13,2.50469,2023-03-13,2023-03-13
41,2023-03-17,2.60729,2023-03-17,2023-03-17
53,2023-04-04,2.75121,2023-04-04,2023-04-04
113,2023-06-30,2.45144,2023-06-30,2023-06-30
125,2023-07-19,2.47899,2023-07-19,2023-07-19
309,2024-04-11,3.0301,2024-04-11,2024-04-11
484,2024-12-19,2.49378,2024-12-19,2024-12-19
485,2024-12-20,3.47386,2024-12-20,2024-12-20
497,2025-01-10,4.88076,2025-01-10,2025-01-10
498,2025-01-13,3.84133,2025-01-13,2025-01-13
499,2025-01-14,2.57702,2025-01-14,2025-01-14
500,2025-01-15,2.46983,2025-01-15,2025-01-15
501,2025-01-16,2.59147,2025-01-16,2025-01-16
503,2025-01-21,3.02336,2025-01-21,2025-01-21
512,2025-02-03,3.33845,2025-02-03,2025-02-03
517,2025-02-10,2.67181,2025-02-10,2025-02-10
518,2025-02-11,2.7855,2025-02-11,2025-02-11
519,2025-02-12,2.85191,2025-02-12,2025-02-12
520,2025-02-13,2.83908,2025-02-13,2025-02-13
521,2025-02-14,2.70469,2025-02-14,2025-02-14
522,2025-02-18,3.97341,2025-02-18,2025-02-18
523,2025-02-19,2.56017,2025-02-19,2025-02-19
524,2025-02-20,3.3376,2025-02-20,2025-02-20
525,2025-02-21,3.07591,2025-02-21,2025-02-21
526,2025-02-24,3.00415,2025-02-24,2025-02-24
527,2025-02-25,2.97066,2025-02-25,2025-02-25
528,2025-02-26,3.43949,2025-02-26,2025-02-26
529,2025-02-27,2.61855,2025-02-27,2025-02-27
530,2025-02-28,2.57666,2025-02-28,2025-02-28
532,2025-03-04,2.70893,2025-03-04,2025-03-04
534,2025-03-06,2.67363,2025-03-06,2025-03-06
535,2025-03-07,3.10224,2025-03-07,2025-03-07
536,2025-03-10,2.94055,2025-03-10,2025-03-10
545,2025-03-21,4.10422,2025-03-21,2025-03-21
