index,date,score,start_date,end_date
11,2023-02-02,2.70247,2023-02-02,2023-02-02
58,2023-04-12,3.91092,2023-04-12,2023-04-12
73,2023-05-03,2.62955,2023-05-03,2023-05-03
104,2023-06-16,2.93319,2023-06-16,2023-06-16
127,2023-07-21,2.47274,2023-07-21,2023-07-21
197,2023-10-30,3.11528,2023-10-30,2023-10-30
198,2023-10-31,3.90524,2023-10-31,2023-10-31
199,2023-11-01,3.33823,2023-11-01,2023-11-01
200,2023-11-02,2.83907,2023-11-02,2023-11-02
228,2023-12-13,2.54149,2023-12-13,2023-12-13
229,2023-12-14,2.71227,2023-12-14,2023-12-14
230,2023-12-15,3.07603,2023-12-15,2023-12-15
261,2024-02-01,2.60803,2024-02-01,2024-02-01
323,2024-05-01,3.34425,2024-05-01,2024-05-01
324,2024-05-02,2.63763,2024-05-02,2024-05-02
363,2024-06-28,4.42424,2024-06-28,2024-06-28
390,2024-08-07,3.0204,2024-08-07,2024-08-07
449,2024-10-30,2.70336,2024-10-30,2024-10-30
461,2024-11-15,2.98924,2024-11-15,2024-11-15
485,2024-12-20,2.52608,2024-12-20,2024-12-20
514,2025-02-05,3.40712,2025-02-05,2025-02-05
517,2025-02-10,3.13152,2025-02-10,2025-02-10
530,2025-02-28,2.51345,2025-02-28,2025-02-28
533,2025-03-05,2.42877,2025-03-05,2025-03-05
534,2025-03-06,2.56806,2025-03-06,2025-03-06
536,2025-03-10,2.61482,2025-03-10,2025-03-10
537,2025-03-11,3.1956,2025-03-11,2025-03-11
538,2025-03-12,3.7783,2025-03-12,2025-03-12
539,2025-03-13,2.70586,2025-03-13,2025-03-13
540,2025-03-14,2.51647,2025-03-14,2025-03-14
545,2025-03-21,2.62408,2025-03-21,2025-03-21
