index,stock_idx,time_period,stock_ticker,score
31,1,3,TECH,0.5030113783891722
39,9,3,ORCL,0.6734205627107968
49,9,4,ORCL,0.6334535763641526
97,7,9,DLR,0.9631964589433599
107,7,10,DLR,1.163755744084099
117,7,11,DLR,0.8527528289422159
127,7,12,DLR,0.7968385736346312
137,7,13,DLR,0.665437738317543
166,6,16,NWS,0.5955339687377329
167,7,16,DLR,0.4932053073757706
169,9,16,ORCL,1.099090664601533
176,6,17,NWS,0.9744927563986783
179,9,17,ORCL,0.675469600378286
212,2,21,HAL,0.5718886717661114
245,5,24,LLY,0.502960688014025
338,8,33,ALLE,0.6540985765971963
394,4,39,BG,0.9245148437641366
401,1,40,TECH,0.5547690435038463
411,1,41,TECH,0.720959751033709
421,1,42,TECH,0.6988784543976945
435,5,43,LLY,2.614865059312114
445,5,44,LLY,2.789328285619934
455,5,45,LLY,2.8326564690691676
475,5,47,LLY,0.6144761082098456
566,6,56,NWS,0.6068058848027469
573,3,57,STZ,0.8326822674274436
591,1,59,TECH,0.8722797800992228
599,9,59,ORCL,0.7118576166270015
609,9,60,ORCL,0.6961004714470631
629,9,62,ORCL,0.6344047559171
683,3,68,STZ,1.0087168856727207
709,9,70,ORCL,2.2786183417342545
719,9,71,ORCL,2.276223344355634
730,0,73,MDT,0.5697450092466443
737,7,73,DLR,0.5144680414407314
753,3,75,STZ,0.7706084066809552
763,3,76,STZ,0.5712348004959762
901,1,90,TECH,0.5280974863007116
961,1,96,TECH,0.5303426911023594
976,6,97,NWS,0.8621305917824142
1009,9,100,ORCL,0.7867119218337236
1011,1,101,TECH,0.8481255198912689
1029,9,102,ORCL,0.9015328935997826
1081,1,108,TECH,1.347907504488265
1091,1,109,TECH,1.184973812582187
1101,1,110,TECH,1.0428197540055872
1111,1,111,TECH,0.501724303452304
1207,7,120,DLR,0.634971301532989
1266,6,126,NWS,0.6375433358993189
1280,0,128,MDT,1.0260784698963212
1281,1,128,TECH,2.324944926212771
1282,2,128,HAL,0.6085422758558978
1283,3,128,STZ,1.1644554140217507
1284,4,128,BG,0.9639609215206353
1287,7,128,DLR,0.5372432969843829
1288,8,128,ALLE,0.6101355532858905
1289,9,128,ORCL,0.8563978921694699
1290,0,129,MDT,0.5865596619538098
1291,1,129,TECH,1.2805147559769816
1293,3,129,STZ,0.6719908829842884
1299,9,129,ORCL,0.5039995142431354
1303,3,130,STZ,2.5398659877310337
1307,7,130,DLR,1.3096017852711448
1308,8,130,ALLE,0.6761713749251969
1313,3,131,STZ,0.8720999085384818
1317,7,131,DLR,0.9278839092421126
1319,9,131,ORCL,0.7693347494883661
1398,8,139,ALLE,0.7554076335012764
1419,9,141,ORCL,3.149211400705902
1429,9,142,ORCL,3.2679928266556586
1451,1,145,TECH,0.5875862511359331
1459,9,145,ORCL,0.5475995793166759
1471,1,147,TECH,1.055211180255303
1478,8,147,ALLE,0.5989547637342298
1479,9,147,ORCL,0.7223621331822304
1510,0,151,MDT,0.5832860077034465
1514,4,151,BG,0.7385153061722743
1565,5,156,LLY,0.5484854959564507
1585,5,158,LLY,0.9229933595928677
1595,5,159,LLY,0.7912800026268783
1605,5,160,LLY,0.9042872337164332
1704,4,170,BG,1.0495120352081764
1714,4,171,BG,0.9132281375862072
1825,5,182,LLY,1.472317375487514
1846,6,184,NWS,0.5818390931197228
1917,7,191,DLR,1.17256204322853
1927,7,192,DLR,0.8846722796377899
1950,0,195,MDT,0.5294971471949205
2006,6,200,NWS,0.4959116630337178
2089,9,208,ORCL,1.5418116648260576
2099,9,209,ORCL,1.5926456515640373
2114,4,211,BG,0.6553452149484994
2119,9,211,ORCL,1.2220356597362412
2132,2,213,HAL,0.5654164623296396
2138,8,213,ALLE,0.6412773825432478
2142,2,214,HAL,0.8185486313246657
2150,0,215,MDT,0.660895608126365
2158,8,215,ALLE,0.5396056217375178
2323,3,232,STZ,0.9356016833874639
2333,3,233,STZ,0.6508702242624798
2481,1,248,TECH,0.6986057908345628
2505,5,250,LLY,0.6419230389383141
2537,7,253,DLR,1.0920346071917806
2547,7,254,DLR,2.0734621505139064
2557,7,255,DLR,2.2075392059807326
2567,7,256,DLR,1.0562121971771687
2583,3,258,STZ,0.48827959329844944
2587,7,258,DLR,0.5269595632162136
2614,4,261,BG,0.4939833982955983
2616,6,261,NWS,0.6961364293989305
2624,4,262,BG,0.489166681702872
2655,5,265,LLY,0.6495896764461871
2689,9,268,ORCL,0.5757909680623636
2719,9,271,ORCL,0.5631805684417914
2732,2,273,HAL,0.5592938094827745
2747,7,274,DLR,0.5019727809455768
2809,9,280,ORCL,1.0799239410677541
2819,9,281,ORCL,0.9424072613986751
2866,6,286,NWS,8.136329121478985
2876,6,287,NWS,8.940488188695833
2886,6,288,NWS,9.075905670145787
2892,2,289,HAL,0.5361414272397423
2896,6,289,NWS,0.7629915601568417
2904,4,290,BG,38.33796026663956
2921,1,292,TECH,1.5887281846243768
2928,8,292,ALLE,1.480826291629639
2936,6,293,NWS,0.6446223900132148
2938,8,293,ALLE,1.6267487321066028
2944,4,294,BG,1.1721257789488824
2946,6,294,NWS,0.6640107027925193
2948,8,294,ALLE,1.6111455630400953
2950,0,295,MDT,0.8072534775093687
2951,1,295,TECH,1.2056272377629664
2952,2,295,HAL,1.3440783895774964
2954,4,295,BG,0.5589448073251314
2956,6,295,NWS,1.705907763562527
2958,8,295,ALLE,1.9090914216255257
2959,9,295,ORCL,1.0295600438584178
2960,0,296,MDT,0.8895678273609081
2964,4,296,BG,0.9901189360641091
2968,8,296,ALLE,0.587473647732737
2970,0,297,MDT,0.8051727376595464
2978,8,297,ALLE,0.5479350939354195
2986,6,298,NWS,0.5061336105561313
2989,9,298,ORCL,0.9554627655404995
3014,4,301,BG,40.17273538603185
3065,5,306,LLY,0.7615397147196519
3066,6,306,NWS,0.8684815456666662
3075,5,307,LLY,0.758990193444942
3076,6,307,NWS,0.6906926867073823
3124,4,312,BG,40.69533828785081
3164,4,316,BG,0.7910327470270524
3211,1,321,TECH,0.5776878144294535
3234,4,323,BG,2.9077878265065973
3331,1,333,TECH,0.5451004302598448
3354,4,335,BG,0.5866632498618012
3489,9,348,ORCL,0.9266290664346255
3499,9,349,ORCL,0.5667079416618324
3511,1,351,TECH,0.5758251775331438
3519,9,351,ORCL,1.3771542919145194
3563,3,356,STZ,0.8672063287306707
3568,8,356,ALLE,0.9133730722858286
3583,3,358,STZ,0.9338595291593856
3588,8,358,ALLE,0.7246471535226781
3600,0,360,MDT,1.7143208021705427
3602,2,360,HAL,0.6948288812508444
3605,5,360,LLY,1.4132223123676004
3606,6,360,NWS,1.4383067661361615
3607,7,360,DLR,0.7236893527386123
3608,8,360,ALLE,0.6307278807749499
3612,2,361,HAL,0.6577826008154287
3682,2,368,HAL,0.6496906032999988
3784,4,378,BG,2.2396523065724745
3804,4,380,BG,2.3777252190376768
3814,4,381,BG,2.3771825088052356
3871,1,387,TECH,1.018457804596231
3875,5,387,LLY,1.9171973741345472
3885,5,388,LLY,2.071024756090649
3895,5,389,LLY,2.029808624823319
3980,0,398,MDT,0.589585748033315
4001,1,400,TECH,0.5623892032571283
4025,5,402,LLY,0.5900658870495321
4061,1,406,TECH,0.7633619468254156
4071,1,407,TECH,0.6139830591103187
4074,4,407,BG,0.5398060159661794
4079,9,407,ORCL,0.8788207136508639
4102,2,410,HAL,1.3647526725979693
4105,5,410,LLY,0.760096842710875
4108,8,410,ALLE,1.4435501812201792
4109,9,410,ORCL,0.6315950283173261
4112,2,411,HAL,0.6843288804280104
4113,3,411,STZ,0.5207770547861269
4146,6,414,NWS,0.7388381943829639
4189,9,418,ORCL,1.4429746703969064
4209,9,420,ORCL,1.0815463954977262
4277,7,427,DLR,0.5534731488538553
4283,3,428,STZ,0.6554645140516336
4288,8,428,ALLE,0.5646324619975829
4290,0,429,MDT,1.3597438095440577
4291,1,429,TECH,0.8289346736769142
4292,2,429,HAL,1.256922476927954
4293,3,429,STZ,1.3339699521350257
4295,5,429,LLY,1.1967031329594184
4297,7,429,DLR,1.4244406014902826
4298,8,429,ALLE,1.4647019791247313
4299,9,429,ORCL,1.0469596980084959
4300,0,430,MDT,2.2446671855178053
4301,1,430,TECH,0.888848769081619
4303,3,430,STZ,1.8058418411018453
4304,4,430,BG,1.9962125796922596
4305,5,430,LLY,1.720940137039973
4307,7,430,DLR,1.7876667428783108
4308,8,430,ALLE,1.5998493319538476
4309,9,430,ORCL,1.6805726284738083
4310,0,431,MDT,0.6598815715990519
4313,3,431,STZ,1.003569764606759
4314,4,431,BG,0.8007725228739682
4315,5,431,LLY,1.262570320610468
4317,7,431,DLR,0.6896285079277154
4318,8,431,ALLE,0.7115595403057902
4319,9,431,ORCL,0.695292765877322
4403,3,440,STZ,0.9188809701432742
4411,1,441,TECH,0.5723976290284049
4413,3,441,STZ,1.0632001210207749
4421,1,442,TECH,0.5426492829886733
4423,3,442,STZ,1.1605927959693192
4456,6,445,NWS,0.6734035128069001
4475,5,447,LLY,1.0563975461348614
4492,2,449,HAL,0.5121721884863447
