Price,Close,High,Low,Open,Volume
Ticker,PWR,PWR,PWR,PWR,PWR
Date,,,,,
2023-01-03,140.12672424316406,142.83737682363548,138.6817109323199,142.36899099644296,789800
2023-01-04,138.0737762451172,140.91397104502929,137.40608100710963,140.35589832110304,930000
2023-01-05,135.10403442382812,138.98066334655775,134.14732738605954,137.52567487807153,1101400
2023-01-06,138.64181518554688,140.47550233821852,136.2999016733457,137.27652898292578,894800
2023-01-09,138.16346740722656,142.47858620044565,137.74491285167525,139.0105518784906,815800
2023-01-10,139.03048706054688,139.1500849508867,137.53564268521717,137.53564268521717,939600
2023-01-11,140.2064208984375,143.17617374512534,139.48889447548265,140.55520874998913,875700
2023-01-12,147.30194091796875,147.47135476447272,140.71466038582633,141.06346343861406,1204000
2023-01-13,147.98960876464844,148.65730416461645,145.9665870465282,146.68411363886437,770800
2023-01-17,147.76039123535156,149.82326861195102,147.36175693591287,147.98959645356402,849900
2023-01-18,143.8040313720703,150.07240540339114,142.8473242848997,148.26862896406544,753300
2023-01-19,142.99684143066406,143.82399060955333,141.69133102611988,142.63807811459577,1677800
2023-01-20,145.7373809814453,145.87689919547682,142.72775641437153,143.25593359651543,931800
2023-01-23,149.03598022460938,149.26518542689476,146.49474186526984,146.93323196101065,766100
2023-01-24,150.98924255371094,153.0421749424949,147.67068620493663,148.3184612268233,804600
2023-01-25,148.3782501220703,149.51433122402258,145.14938083983293,149.48443555341936,915200
2023-01-26,149.5442352294922,149.65385776326158,146.91330962537077,149.1356407666841,840400
2023-01-27,149.4844512939453,150.61057235972336,148.7669247112268,149.20541486803754,645200
2023-01-30,148.58753967285156,150.66037719581547,147.90986896983583,149.01605443580416,743000
2023-01-31,151.66693115234375,151.71676234550165,148.25868738790678,148.91640743601747,705500
2023-02-01,152.3445587158203,153.849378358317,150.33151269810608,150.9892326253182,569100
2023-02-02,151.1586456298828,153.67996362756443,149.0260017413808,153.06208432090187,991900
2023-02-03,151.90606689453125,153.22153714663935,149.88304553928137,150.29163995452788,850200
2023-02-06,152.19508361816406,152.84284340493733,150.90950899275006,151.31810342137575,696600
2023-02-07,153.0421905517578,153.5105611821508,149.98273477588847,151.82638244869483,569000
2023-02-08,151.83631896972656,154.08854557405266,151.66690510715864,152.46415844174024,960300
2023-02-09,151.9359893798828,153.47068958494114,151.21846286141977,152.69337172433006,1313200
2023-02-10,150.81980895996094,153.4706696303711,149.8332215301099,151.8662029305272,1063800
2023-02-13,153.75967407226562,153.92910313684447,149.99266774917646,150.90950373828545,582200
2023-02-14,153.67001342773438,155.0851310801843,151.69682292151202,153.20162759553008,803700
2023-02-15,155.4637908935547,155.8325142495167,151.90605453367775,152.7232432976747,653400
2023-02-16,154.78616333007812,157.99508201098573,153.47069294861643,154.28788185946573,911400
2023-02-17,154.3675994873047,156.5201791731789,154.20816096735956,154.3974951601909,862600
2023-02-21,148.18890380859375,154.10849001220845,147.6407911589362,153.4308345226998,1098600
2023-02-22,147.88992309570312,149.46449424729454,146.82360873736297,148.64732060522505,1155900
2023-02-23,159.07135009765625,168.1699733750278,157.68612840670227,159.450048829656,2860100
2023-02-24,160.08787536621094,162.55934728134713,156.57996944365544,157.66623464099104,1468900
2023-02-27,162.34007263183594,164.2235756992739,160.30709122822887,161.88166226335636,866800
2023-02-28,160.84523010253906,163.44625962307924,160.73560758610472,162.35004966507762,1195000
2023-03-01,159.1012725830078,162.81846342147531,158.4435525775415,161.36347478986522,957400
2023-03-02,159.49990844726562,160.19749949399548,157.42705561816518,158.30403590910808,741200
2023-03-03,162.559326171875,163.26689248157751,159.7589870145482,162.01122877300293,793100
2023-03-06,162.80845642089844,164.3232361035141,160.29712916512392,161.88166033500715,769300
2023-03-07,162.4098358154297,164.08405396969755,161.6026224048833,163.13732237962887,607300
2023-03-08,161.8717041015625,163.09748741374918,160.42669094181602,162.19061152772773,772200
2023-03-09,159.99815368652344,163.71532851256487,159.0713424151646,162.63903891018407,589700
2023-03-10,156.80918884277344,159.79887774191997,155.45386260023992,159.6294486560522,1695700
2023-03-13,155.33424377441406,157.41707165033665,154.31776063423166,154.73631519895537,897700
2023-03-14,159.19094848632812,160.5661948215925,157.01843365674262,158.62290038650244,860300
2023-03-15,154.8060760498047,158.0150097797139,151.1785877298651,156.68957930811288,1368800
2023-03-16,156.66966247558594,157.51673182908468,151.47756300037418,153.2315082555686,848300
2023-03-17,154.56690979003906,157.2576265425181,152.36449911992145,156.9387191197701,1607500
2023-03-20,156.7493896484375,157.8954462373732,154.7263679482394,155.25454512870422,1000500
2023-03-21,161.06451416015625,161.56279568170737,157.8954509821368,159.31056867858058,764000
2023-03-22,158.01502990722656,162.76863976706514,157.95523855908374,160.40679027735402,752200
2023-03-23,158.42359924316406,161.28372978844797,156.7194700599183,158.2840810508659,808400
2023-03-24,160.22738647460938,161.2937161074613,154.3277357609242,156.4404443039325,1209700
2023-03-27,161.89163208007812,163.14731100421415,159.73905267270982,162.1407727927918,821000
2023-03-28,162.71878051757812,164.10400226730079,161.69232200119654,162.29026579221247,901000
2023-03-29,164.89134216308594,164.9311979974892,163.15731684278526,164.3830852347781,651500
2023-03-30,165.94764709472656,166.64523803607807,164.9112132335683,166.27651465415127,695300
2023-03-31,166.06724548339844,167.1534954238898,164.99095569788958,166.4260087452347,919100
2023-04-03,165.22015380859375,166.91432287606835,163.35658608198307,166.30641890871806,671600
2023-04-04,162.0909423828125,166.31637436489214,161.33356008683037,165.77823711365212,830600
2023-04-05,159.36036682128906,161.27376564245256,157.367241148451,161.0844162705182,1095400
2023-04-06,158.66241455078125,160.63659222495983,158.60259329004134,158.74218130308523,679300
2023-04-10,161.0653533935547,161.25479756615985,157.71522520114942,157.86479359665867,941200
2023-04-11,163.24888610839844,163.32865285943436,161.16503108467361,161.16503108467361,755800
2023-04-12,164.5151824951172,166.1104873200455,163.84715297369033,164.49523700096813,883300
2023-04-13,164.55508422851562,165.52223545893182,162.48120892848488,164.774439056896,838900
2023-04-14,165.5321807861328,166.20021027158097,164.06649893118043,164.38555075061,444000
2023-04-17,166.35975646972656,166.95798438199196,165.32280374613902,165.7016920736754,449400
2023-04-18,167.29698181152344,167.8054930332741,166.27998979593153,166.85828742787157,711400
2023-04-19,165.52220153808594,167.19727304662743,164.8142962757138,166.18026588836844,434400
2023-04-20,166.79844665527344,167.59609906550725,163.7773508931996,164.5151820351079,512100
2023-04-21,165.31283569335938,166.74860699982864,164.7345380719229,166.67880537695234,526300
2023-04-24,167.7755889892578,168.61311722816023,166.00082024845992,166.28996146881124,514200
2023-04-25,166.72865295410156,167.58612659515467,165.7714670608978,166.10049923625056,597000
2023-04-26,163.5879364013672,166.72867497758054,162.98969323734767,165.51225836764166,578300
2023-04-27,168.4735107421875,168.88230967616215,164.4553534495918,164.95388428206226,790800
2023-04-28,169.14154052734375,170.3180812052842,168.15444400030546,168.57322328859104,727900
2023-05-01,168.7128143310547,171.43478846987566,168.23421376844027,169.2711664401509,740800
2023-05-02,167.6260223388672,168.00491068543658,164.50522929892415,167.95505455342132,688100
2023-05-03,167.72572326660156,170.45767784846163,167.71575812645423,168.43362856592356,870700
2023-05-04,164.86412048339844,168.97200887963945,160.12807849132324,166.48932033729778,1229200
2023-05-05,170.56736755371094,171.0359725977205,167.30697124364374,167.30697124364374,855100
2023-05-08,168.3837890625,170.82658724706215,167.6858336835212,170.49755505198902,821200
2023-05-09,170.49754333496094,170.93625289824251,167.52630385721773,168.36383199768974,889300
2023-05-10,170.92626953125,172.32216495471337,169.20135715507962,171.67406576076326,711000
2023-05-11,171.0858154296875,171.26529444901874,168.75269467606176,169.06178137240263,686200
2023-05-12,173.33917236328125,175.77198998745806,171.03594719298536,171.99313306242877,896000
2023-05-15,174.29632568359375,174.55557142138457,172.3520587199213,172.99017749809974,652900
2023-05-16,169.19140625,173.42891857374926,168.8025527864965,173.02011961587377,959700
2023-05-17,169.26116943359375,170.66702992179418,167.68581030137625,170.35794326423644,969200
2023-05-18,171.38494873046875,171.99315702473763,167.60609127896416,168.77265173571817,827600
2023-05-19,171.2054901123047,173.51866560055927,170.13862667276217,172.25239284178105,658000
2023-05-22,170.48760986328125,173.6981502120648,170.2782201822926,171.62425975475418,795500
2023-05-23,166.12042236328125,169.63008321388827,165.02364859310669,168.68286258785042,1166500
2023-05-24,166.07057189941406,168.5732061655068,165.15327708491688,168.5732061655068,698900
2023-05-25,172.3421173095703,172.5315462488688,166.10050146177974,166.6189777947934,1080400
2023-05-26,173.4887237548828,175.83182467278576,172.571428880244,173.4787586155982,811300
2023-05-30,180.63768005371094,181.29574447693412,175.1538402880951,175.1538402880951,1711000
2023-05-31,177.05821228027344,180.32857332405976,176.0810961085693,178.2646483749997,1767200
2023-06-01,175.53269958496094,177.34734380495655,174.70513662250727,176.479905072219,986400
2023-06-02,179.55087280273438,179.86992463555117,176.03124621804585,176.07112199191513,756500
2023-06-05,178.703369140625,179.55087769449034,175.98139488475115,179.55087769449034,596100
2023-06-06,181.0863494873047,181.54500458472452,177.99546720227113,177.99546720227113,619700
2023-06-07,183.38955688476562,184.18720931237672,180.92682840597166,180.92682840597166,764100
2023-06-08,182.8311767578125,183.40947429894317,181.15612060884277,182.5819113632192,508900
2023-06-09,182.29278564453125,183.0306167520635,181.16610109704567,182.45231916193612,347100
2023-06-12,184.83529663085938,185.94203568939193,181.61477649355385,182.65172914667727,679200
2023-06-13,184.4564208984375,185.59307066730753,183.69865945717572,184.70568633208404,787600
2023-06-14,184.54615783691406,185.95201857237615,183.10042132512092,184.43648043455983,828300
2023-06-15,185.25405883789062,186.0616763454989,183.52914643189058,183.9479105019855,660300
2023-06-16,185.40362548828125,188.05581333910683,185.3438042187664,186.3608114423827,1752600
2023-06-20,185.20420837402344,186.15141393395308,183.05055147859431,184.06755865931706,647400
2023-06-21,190.37896728515625,190.74787525315696,184.8552368355517,185.054661350751,1015300
2023-06-22,188.75375366210938,191.2763186217599,187.88631482552063,189.50154995956993,624100
2023-06-23,186.06167602539062,188.84347134836145,185.9719441278004,186.94906028967412,2264000
2023-06-26,189.95021057128906,191.05694961779602,187.48746706432274,187.50741255734593,729300
2023-06-27,194.08802795410156,194.30738273818903,190.00006902951216,190.00006902951216,623200
2023-06-28,193.15078735351562,194.566613095019,192.66222165964925,194.41705993054646,659000
2023-06-29,194.2774658203125,194.54666150793096,191.91441939798926,192.79183850595422,853300
2023-06-30,195.95321655273438,196.52178244926992,193.0705253588717,195.22506682963348,723300
2023-07-03,195.215087890625,195.7138234718261,192.88099380325025,195.37467170925578,398900
2023-07-05,194.656494140625,195.3946282910187,193.05056493654035,193.6590229634346,575100
2023-07-06,192.04312133789062,195.02556558743794,191.5144628403745,193.5492973111646,729200
2023-07-07,193.1104278564453,195.02557070871555,191.7738048987526,191.83366595493183,737300
2023-07-10,199.28475952148438,200.09272395887373,194.37720316284233,194.82607736812608,1021700
2023-07-11,199.44436645507812,199.98300943465344,198.15763528423116,199.00547668511393,902600
2023-07-12,197.92819213867188,201.97793777524717,197.7386854059554,200.4917002888581,715400
2023-07-13,197.76861572265625,198.81596350888694,196.26242449533893,197.98806060054088,534400
2023-07-14,195.63406372070312,198.09781921028247,194.13785667295238,198.09781921028247,687600
2023-07-17,198.8059844970703,199.44436546287798,194.96572946939384,195.85347823778582,516100
2023-07-18,199.10523986816406,200.1226648203904,197.99804615491283,198.65638084283597,812600
2023-07-19,199.44436645507812,199.92314837676506,196.98061133567234,198.13768159826836,542000
2023-07-20,199.4742889404297,200.41191431600598,198.49677141321737,200.41191431600598,522000
2023-07-21,200.98048400878906,202.9654420194782,200.0827507678947,200.0827507678947,671500
2023-07-24,203.29461669921875,203.65370696451285,201.0403371127747,202.48666740735794,598700
2023-07-25,204.8805694580078,205.90796353159163,202.40684525153245,202.65621304065863,615200
2023-07-26,202.1375274658203,204.88057319625815,201.06027199091724,204.1723771855311,734100
2023-07-27,201.12013244628906,203.12504417391665,200.3520753242771,202.96544512151354,602200
2023-07-28,199.9730224609375,204.09258339866253,199.04538154809921,202.07768730749837,1089400
2023-07-31,201.11013793945312,201.63879645643297,199.5241623885136,200.89069305841969,821500
2023-08-01,201.3794708251953,201.93805229210275,199.15511419083055,200.45182986483908,1094800
2023-08-02,201.80838012695312,201.95799471860315,199.34462504976545,200.1326205994599,1235000
2023-08-03,202.82577514648438,203.6935853760061,193.50939848072466,199.763546703588,1349600
2023-08-04,199.77354431152344,203.84322891086026,197.6888330145226,203.54398448645833,1009500
2023-08-07,201.60890197753906,201.78845473289573,198.84591732966962,199.81346574520094,552200
2023-08-08,202.1874237060547,203.34449403394112,200.88073877551213,201.77845683185632,630800
2023-08-09,202.92555236816406,204.1424685037816,201.55902163398838,201.987926963324,501600
2023-08-10,199.9231414794922,204.28210088970616,198.3970117903512,203.46416721568164,676000
2023-08-11,199.663818359375,201.03034910191158,199.12519058106676,199.98301646518982,522100
2023-08-14,203.02528381347656,203.09511410402075,198.7960156151121,199.7037180709697,554400
2023-08-15,202.6861572265625,203.6138134139604,201.4991639905326,202.35698988395058,668900
2023-08-16,200.26229858398438,203.77338627570782,200.12265322374768,202.83577612566302,483800
2023-08-17,199.9031982421875,202.00786299242318,199.40446266365015,200.2722576998405,826600
2023-08-18,202.55648803710938,203.1150694853141,196.81104406653978,198.02796017307276,696900
2023-08-21,203.0552215576172,203.74346390765604,200.70118889283555,202.94549911569166,478300
2023-08-22,206.1074981689453,207.15483085056363,203.2547296617988,204.02277159895834,681300
2023-08-23,207.72337341308594,208.88044363572646,205.06012718662694,206.17729003871997,552400
2023-08-24,201.05029296875,207.99269922910275,201.0104008175733,207.99269922910275,697100
2023-08-25,204.7509307861328,206.23715322974707,202.11760725588206,202.22732970381767,634200
2023-08-28,207.15481567382812,207.35432209400003,204.99030495274877,205.36934888683186,428400
2023-08-29,208.07247924804688,208.1123713954843,205.13991175485543,206.40668910366028,406600
2023-08-30,209.10984802246094,210.53623965926454,208.45151342085924,208.62108168729574,410400
2023-08-31,209.3392791748047,211.8928030518412,209.29938702306475,209.46895530331452,767100
2023-09-01,211.82298278808594,212.2818262329618,209.46895016786752,210.38662183741673,559800
2023-09-05,208.28195190429688,211.35416492446544,206.10747206636967,211.33421123947284,640800
2023-09-06,208.56126403808594,210.53626810978028,206.98525760622042,208.71089386059813,509200
2023-09-07,208.1722412109375,209.61857144035028,204.91050604983755,207.4440914797523,667500
2023-09-08,205.97779846191406,209.04004228711761,205.1399263244091,208.8804432456303,621500
2023-09-11,204.521484375,207.4740057693763,203.72351960589506,207.11491553519815,613700
2023-09-12,203.97288513183594,207.4939571460333,203.70356365414827,203.96290067920168,478200
2023-09-13,199.8234100341797,205.09005682403588,197.69879147888216,203.3843743519993,826300
2023-09-14,202.2771759033203,203.24472417514136,200.0927267824052,201.24978179533753,568100
2023-09-15,198.7361602783203,201.0502854652697,197.88830370048245,201.0502854652697,1211200
2023-09-18,197.20005798339844,199.8333814065197,196.8708906529829,199.24487703708118,602800
2023-09-19,195.63406372070312,197.96814306234506,193.45956823013202,196.8908721615399,787600
2023-09-20,194.75624084472656,197.43944065702576,194.67644132679106,196.3721392273655,472500
2023-09-21,185.9984588623047,193.67898418134718,185.61941492976553,193.67898418134718,1375100
2023-09-22,187.97344970703125,189.12055075034294,185.86878480899648,185.96853801978986,1121900
