index,subsequence_idx,score,start_date,end_date
114,114,2.38557,2023-11-02,2023-11-06
129,129,2.34102,2023-11-22,2023-11-27
143,143,2.79127,2023-12-12,2023-12-14
144,144,3.28087,2023-12-13,2023-12-15
145,145,2.33516,2023-12-14,2023-12-18
279,279,2.59069,2023-03-09,2023-03-13
287,287,2.39829,2024-06-20,2024-06-24
342,342,2.35635,2024-08-29,2024-09-03
343,343,2.38432,2024-08-30,2024-09-04
356,356,2.78611,2024-09-18,2024-09-20
358,358,2.37472,2024-09-19,2024-09-23
393,393,2.6703,2024-11-04,2024-11-06
394,394,2.55391,2024-11-05,2024-11-07
425,425,2.40965,2024-12-16,2024-12-18
427,427,2.43338,2024-12-18,2024-12-20
429,429,2.43421,2024-12-20,2024-12-24
494,494,2.3983,2025-03-19,2025-03-21
