index,subsequence_idx,score,start_date,end_date
127,127,2.3707,2023-11-20,2023-11-27
143,143,2.3248,2023-12-12,2023-12-18
144,144,2.66529,2023-12-13,2023-12-19
145,145,2.2992,2023-12-14,2023-12-20
147,147,2.239,2023-12-15,2023-12-21
270,270,2.29812,2024-05-28,2024-06-03
341,341,2.26888,2024-08-28,2024-09-04
391,391,2.77964,2024-10-31,2024-11-06
425,425,2.5977,2024-12-16,2024-12-20
426,426,2.22015,2024-12-17,2024-12-23
427,427,2.55741,2024-12-18,2024-12-24
428,428,2.57354,2024-12-19,2024-12-26
429,429,2.44009,2024-12-20,2024-12-27
508,508,2.22121,2023-04-25,2023-05-01
