index,subsequence_idx,score,start_date,end_date
23,23,3.9220892607421542,2024-06-20,2024-06-24
47,47,3.7621049127577924,2024-09-19,2024-09-23
59,59,3.0465258443224097,2024-11-05,2024-11-07
71,71,2.508495624650693,2024-12-23,2024-12-26
86,86,2.783532523416648,2025-02-26,2025-02-28
97,97,2.5082837468564505,2023-04-24,2023-04-26
128,128,1.9278744115056392,2023-08-23,2023-08-25
133,133,2.836402822819184,2023-09-14,2023-09-18
145,145,1.9710877373188531,2023-10-31,2023-11-02
156,156,2.1901195452362274,2023-12-13,2023-12-15
