feature_index,feature_name,importance_score
0,feature_1,21.714
1,feature_2,12.756
2,feature_3,25.308
3,feature_4,34.395
4,feature_5,13.665
5,feature_6,23.685
6,feature_7,13.166
7,feature_8,25.508
8,feature_9,48.561
9,feature_10,13.739
10,feature_11,14.138
11,feature_12,13.242
12,feature_13,27.661
13,feature_14,22.72
14,feature_15,13.472
15,feature_16,14.209
16,feature_17,13.486
17,feature_18,51.675
18,feature_19,28.568
19,feature_20,13.378
20,feature_21,14.626
21,feature_22,13.395
22,feature_23,32.448
23,feature_24,26.421
